Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401163114,"HOU 109, LAC 96",LA Clippers,Houston Rockets,20191003,Houston Rockets,109,LA Clippers,96,No
401163149,"DET 109, CLE 105",Detroit Pistons,Cleveland Cavaliers,20191011,Detroit Pistons,109,Cleveland Cavaliers,105,Yes
401163150,"IND 105, CHI 87",Indiana Pacers,Chicago Bulls,20191011,Indiana Pacers,105,Chicago Bulls,87,Yes
401163151,"BOS 100, ORL 75",Orlando Magic,Boston Celtics,20191011,Boston Celtics,100,Orlando Magic,75,No
401163152,"PHI 100, CHA 87",Charlotte Hornets,Philadelphia 76ers,20191011,Philadelphia 76ers,100,Charlotte Hornets,87,No
401163153,"WSH 115, NY 99",New York Knicks,Washington Wizards,20191011,Washington Wizards,115,New York Knicks,99,No
401163154,"NO 128, UTAH 127",New Orleans Pelicans,Utah Jazz,20191011,New Orleans Pelicans,128,Utah Jazz,127,Yes
401163155,"MIL 118, DAL 111",Dallas Mavericks,Milwaukee Bucks,20191011,Milwaukee Bucks,118,Dallas Mavericks,111,No
401163156,"BKN 91, LAL 77",Brooklyn Nets,Los Angeles Lakers,20191012,Brooklyn Nets,91,Los Angeles Lakers,77,Yes
401163157,"PHX 134, POR 118",Portland Trail Blazers,Phoenix Suns,20191012,Phoenix Suns,134,Portland Trail Blazers,118,No
401163165,"MIA 120, ATL 87",Miami Heat,Atlanta Hawks,20191014,Miami Heat,120,Atlanta Hawks,87,Yes
401163166,"CHA 120, MEM 99",Memphis Grizzlies,Charlotte Hornets,20191014,Charlotte Hornets,120,Memphis Grizzlies,99,No
401163167,"DAL 107, OKC 70",Dallas Mavericks,Oklahoma City Thunder,20191014,Dallas Mavericks,107,Oklahoma City Thunder,70,Yes
401163169,"SAC 128, UTAH 115",Utah Jazz,Sacramento Kings,20191014,Sacramento Kings,128,Utah Jazz,115,No
401163168,"DEN 107, PHX 102",Phoenix Suns,Denver Nuggets,20191014,Denver Nuggets,107,Phoenix Suns,102,No
401163170,"LAL 104, GS 98",Los Angeles Lakers,Golden State Warriors,20191014,Los Angeles Lakers,104,Golden State Warriors,98,Yes
401163171,"BOS 118, CLE 95",Cleveland Cavaliers,Boston Celtics,20191015,Boston Celtics,118,Cleveland Cavaliers,95,No
401163172,"MIN 119, IND 111",Indiana Pacers,Minnesota Timberwolves,20191015,Minnesota Timberwolves,119,Indiana Pacers,111,No
401163173,"PHI 106, DET 86",Philadelphia 76ers,Detroit Pistons,20191015,Philadelphia 76ers,106,Detroit Pistons,86,Yes
401163181,"MIA 107, ORL 98",Orlando Magic,Miami Heat,20191017,Miami Heat,107,Orlando Magic,98,No
401163182,"CHI 111, ATL 93",Chicago Bulls,Atlanta Hawks,20191017,Chicago Bulls,111,Atlanta Hawks,93,Yes
401163183,"MIL 118, MIN 96",Milwaukee Bucks,Minnesota Timberwolves,20191017,Milwaukee Bucks,118,Minnesota Timberwolves,96,Yes
401163184,"DEN 110, POR 104",Denver Nuggets,Portland Trail Blazers,20191017,Denver Nuggets,110,Portland Trail Blazers,104,Yes
401163185,"DAL 102, LAC 87",LA Clippers,Dallas Mavericks,20191017,Dallas Mavericks,102,LA Clippers,87,No
401163186,"WSH 112, PHI 93",Philadelphia 76ers,Washington Wizards,20191018,Washington Wizards,112,Philadelphia 76ers,93,No
401163187,"TOR 123, BKN 107",Brooklyn Nets,Toronto Raptors,20191018,Toronto Raptors,123,Brooklyn Nets,107,No
401163188,"HOU 144, MIA 133",Miami Heat,Houston Rockets,20191018,Houston Rockets,144,Miami Heat,133,No
401163189,"NO 117, NY 116",New York Knicks,New Orleans Pelicans,20191018,New Orleans Pelicans,117,New York Knicks,116,No
401163190,"SA 104, MEM 91",San Antonio Spurs,Memphis Grizzlies,20191018,San Antonio Spurs,104,Memphis Grizzlies,91,Yes
401163191,"GS 124, LAL 103",Golden State Warriors,Los Angeles Lakers,20191018,Golden State Warriors,124,Los Angeles Lakers,103,Yes
401160623,"TOR 130, NO 122 (OT)",Toronto Raptors,New Orleans Pelicans,20191022,Toronto Raptors,130,New Orleans Pelicans,122,Yes
401160624,"LAC 112, LAL 102",LA Clippers,Los Angeles Lakers,20191022,LA Clippers,112,Los Angeles Lakers,102,Yes
401160625,"CHA 126, CHI 125",Charlotte Hornets,Chicago Bulls,20191023,Charlotte Hornets,126,Chicago Bulls,125,Yes
