Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401266805,"BKN 125, GS 99",Brooklyn Nets,Golden State Warriors,20201222,Brooklyn Nets,125,Golden State Warriors,99,Yes
401266806,"LAC 116, LAL 109",Los Angeles Lakers,LA Clippers,20201222,LA Clippers,116,Los Angeles Lakers,109,No
401266794,"MIA 111, NO 98",Miami Heat,New Orleans Pelicans,20201225,Miami Heat,111,New Orleans Pelicans,98,Yes
401266797,"MIL 138, GS 99",Milwaukee Bucks,Golden State Warriors,20201225,Milwaukee Bucks,138,Golden State Warriors,99,Yes
401266798,"BKN 123, BOS 95",Boston Celtics,Brooklyn Nets,20201225,Brooklyn Nets,123,Boston Celtics,95,No
401266799,"LAL 138, DAL 115",Los Angeles Lakers,Dallas Mavericks,20201225,Los Angeles Lakers,138,Dallas Mavericks,115,Yes
401266795,"LAC 121, DEN 108",Denver Nuggets,LA Clippers,20201225,LA Clippers,121,Denver Nuggets,108,No
401267181,"ATL 122, MEM 112",Memphis Grizzlies,Atlanta Hawks,20201226,Atlanta Hawks,122,Memphis Grizzlies,112,No
401267182,"OKC 109, CHA 107",Charlotte Hornets,Oklahoma City Thunder,20201226,Oklahoma City Thunder,109,Charlotte Hornets,107,No
401267183,"CLE 128, DET 119 (2OT)",Detroit Pistons,Cleveland Cavaliers,20201226,Cleveland Cavaliers,128,Detroit Pistons,119,No
401267184,"ORL 130, WSH 120",Washington Wizards,Orlando Magic,20201226,Orlando Magic,130,Washington Wizards,120,No
401267185,"PHI 109, NY 89",New York Knicks,Philadelphia 76ers,20201226,Philadelphia 76ers,109,New York Knicks,89,No
401267186,"IND 125, CHI 106",Chicago Bulls,Indiana Pacers,20201226,Indiana Pacers,125,Chicago Bulls,106,No
401267187,"SA 119, TOR 114",San Antonio Spurs,Toronto Raptors,20201226,San Antonio Spurs,119,Toronto Raptors,114,Yes
401267188,"MIN 116, UTAH 111",Utah Jazz,Minnesota Timberwolves,20201226,Minnesota Timberwolves,116,Utah Jazz,111,No
401267189,"POR 128, HOU 126 (OT)",Portland Trail Blazers,Houston Rockets,20201226,Portland Trail Blazers,128,Houston Rockets,126,Yes
401267190,"SAC 106, PHX 103",Sacramento Kings,Phoenix Suns,20201226,Sacramento Kings,106,Phoenix Suns,103,Yes
401267191,"DAL 124, LAC 73",LA Clippers,Dallas Mavericks,20201227,Dallas Mavericks,124,LA Clippers,73,No
401267192,"CHA 106, BKN 104",Charlotte Hornets,Brooklyn Nets,20201227,Charlotte Hornets,106,Brooklyn Nets,104,Yes
401267193,"ORL 120, WSH 113",Washington Wizards,Orlando Magic,20201227,Orlando Magic,120,Washington Wizards,113,No
401267194,"NO 98, SA 95",New Orleans Pelicans,San Antonio Spurs,20201227,New Orleans Pelicans,98,San Antonio Spurs,95,Yes
